Внутренний идентификатор;Снимаем;Реестровый номер с площадки;Название;Дата публикации в системе;Дата окончания;Цена;Валюта;Заказчик;ИНН заказчика;Площадка;Ссылка на тендер;Регион;Документация
72001120628;1;SBR028-2210310035;Выбор поставщика на поставку оборудования Apple в соответствии со Спецификацией;31.10.2022 18:09;10.11.2022 14:00;-;RUB;"АО ""НСПК"" 7706812159";7706812159;utp.sberbank-ast.ru;https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/632/0/0/1060335;город Москва;http://www.tenderland.ru/getarch.php?id=72001120628&module=commerce
72002712627;0;166448-2;166448-2 Уведомление о проведении открытого запроса предложений на право заключения договора на выполнение работ по реконструкции системы гарантированного электропитания КСО в филиале ПАО МТС в Иркутской области по адресу: г. Иркутск, ул. Академическая, 28/7 (Торги № 166448-2).;01.11.2022 13:01;10.11.2022 0:00;-;RUB;ПАО «МТС»;7740000076;tenders.mts.ru;https://tenders.mts.ru/tenders/54412;город Москва;
72002824333;0;SBR028-2211010005;"Третий тур открытого запроса цен на приобретение лицензий Kaspersky и профессиональные услуги для ПАО ""МТС-Банк""";01.11.2022 14:11;03.11.2022 15:00;-;RUB;"ПАО ""МТС-Банк"" 7702045051";7702045051;utp.sberbank-ast.ru;https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/5/0/0/1060835;город Москва;
72002835625;0;166832;166832 Уведомление о продлении открытого запроса предложений (ОЗП) на выбор агентства для оказания услуг по организации финального онлайн-мероприятия мотивационных программ (Торги 166832);01.11.2022 14:23;10.11.2022 0:00;-;RUB;ПАО «МТС»;7740000076;tenders.mts.ru;https://tenders.mts.ru/tenders/54418;город Москва;
72002887444;0;COM01112200074;COM01112200074 Открытый запрос предложений (продажа коммерческая)на право заключения договора поставки лома свинца;01.11.2022 15:01;08.11.2022 10:00;-;RUB;"Акционерное общество ""Концэл"" 7735093237";7735093237;www.roseltorg.ru;https://www.roseltorg.ru/procedure/COM01112200074;-;http://www.tenderland.ru/getarch.php?id=72002887444&module=commerce
72002999033;1;SBR028-2211010009;3 тур /Запрос цен на Графический планшет Wacom intuos Pro - Medium;01.11.2022 16:11;07.11.2022 10:00;-;RUB;"ПАО ""МТС-Банк"" 7702045051";7702045051;utp.sberbank-ast.ru;https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/632/0/0/1061026;город Москва;
72003014980;1;166905;166905 166905 Уведомление о проведении запроса информации на поставку беспроводной связи + кабель, г. Якутск;01.11.2022 16:23;04.11.2022 0:00;-;RUB;ПАО «МТС»;7740000076;tenders.mts.ru;https://tenders.mts.ru/tenders/54422;город Москва;
72004100284;0;166770;166770 Уведомление о продлении срока проведения открытого запроса предложений на выполнение ПИР, СМР по модернизации систем противопожарной защиты (АУПС и СОУЭ) на объекте филиала ПАО МТС в Приморском крае,г. Владивосток, ул. Бородинская, 46/50. (Торги №166770-2);02.11.2022 5:00;14.11.2022 0:00;-;RUB;ПАО «МТС»;7740000076;tenders.mts.ru;https://tenders.mts.ru/tenders/54446;город Москва;
72004314288;1;166759;166759 Открытый запрос предложений по настройке системы хранения документов (СХД) ЕЦО;02.11.2022 7:20;08.11.2022 0:00;-;RUB;ПАО «МТС»;7740000076;tenders.mts.ru;https://tenders.mts.ru/tenders/54452;город Москва;
72004600674;0;166618;"166618 166618 Уведомление о проведении открытого запроса предложений на право заключения договора на внедрение систем управления событиями и информацией о безопасности (SIEM) и управления уязвимостями информационных активов (СУУ) в АО ""МТТ"".";02.11.2022 10:59;14.11.2022 0:00;-;RUB;ПАО «МТС»;7740000076;tenders.mts.ru;https://tenders.mts.ru/tenders/54458;город Москва;
72004729221;0;166791;166791 Уведомление о продлении срока приема предложений на выполнение работ по реконструкции системы электропитания КСО в филиале ПАО МТС в Иркутской области, ж/р, улица Янгеля, дом 111Б(Торги №166791);02.11.2022 12:22;15.11.2022 0:00;-;RUB;ПАО «МТС»;7740000076;tenders.mts.ru;https://tenders.mts.ru/tenders/54464;город Москва;
72004807854;1;;166688 Оборудование для работы с серверами СХД ИС СОРМ;02.11.2022 13:20;09.11.2022 0:00;-;RUB;ПАО «МТС»;7740000076;tenders.mts.ru;https://tenders.mts.ru/tenders/54472;город Москва;
72004849299;1;166935;166935 Уведомление о проведении открытого запроса предложений на право заключения договора на международную доставку документов от сторонних организаций в/из Россию, а также экспорт/импорт сим-карт (в офис ПАО «МТС» г. Москва) (Торги № 166935);02.11.2022 14:00;15.11.2022 0:00;-;RUB;ПАО «МТС»;7740000076;tenders.mts.ru;https://tenders.mts.ru/tenders/54475;город Москва;
72004856618;0;3142083;Запрос предложений № 3142083 Международная доставка отправлений и СИМ-карт из/в Россию Запрос предложений на право заключения договора на международную доставку документов от сторонних организаций в/из Россию, а также экспорт/импорт сим-карт (в офис ПАО «МТС» г. Москва);02.11.2022 14:02;21.11.2022 14:00;-;RUB;"ПАО ""МТС"" 7740000076";7740000076;www.b2b-center.ru;https://www.b2b-center.ru/market/view.html?id=3142083;город Москва;
72005054674;0;SBR028-2211020020;Приобретение лицензий и проведение работ по внедрению Системы управления учетными записями и правами пользователей на базе Solar inRights;02.11.2022 16:10;11.11.2022 12:00;-;RUB;"ПАО ""МТС-Банк"" 7702045051";7702045051;utp.sberbank-ast.ru;https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/632/0/0/1061865;город Москва;
72005373567;1;COM02112200178;Поставка DWDM Huawei для нужд ООО «ВК»;02.11.2022 20:01;11.11.2022 12:00;5 026 667,00;USD;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВК"" 7743001840";7743001840;com.roseltorg.ru;https://com.roseltorg.ru/#com/procedure/view/procedure/806931;город Москва;http://www.tenderland.ru/getarch.php?id=72005373567&module=commerce
72005402522;0;SBR028-2211020027;"Открытый запрос цен на закупку Программно-аппаратного комплекса развития SOC (центра мониторинга) СХД (система хранения данных), услуг по поставке, настройке ПАК в г. Москва и технической поддержки для ПАО ""МТС Банк"".";02.11.2022 20:10;15.11.2022 13:00;-;RUB;"ПАО ""МТС-Банк"" 7702045051";7702045051;utp.sberbank-ast.ru;https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/5/0/0/1062162;город Москва;
72005495296;1;167005;167005 167005 Уведомление о проведении запроса информации на поставку LED экрана + СМР и ПНР , дер. Лунёво, Костромской район;02.11.2022 21:20;09.11.2022 0:00;-;RUB;ПАО «МТС»;7740000076;tenders.mts.ru;https://tenders.mts.ru/tenders/54490;город Москва;
72005495297;1;167006;167006 167006 Уведомление о проведении запроса информации на поставку Терминалов IP телефонии, г. Липецк (GS);02.11.2022 21:20;08.11.2022 0:00;-;RUB;ПАО «МТС»;7740000076;tenders.mts.ru;https://tenders.mts.ru/tenders/54492;город Москва;
72005537709;0;167007;167007 167007 Уведомление о проведении запроса информации на выполнение работ по проектированию системы видеонабл.,г.Новороссийск;02.11.2022 22:00;08.11.2022 0:00;-;RUB;ПАО «МТС»;7740000076;tenders.mts.ru;https://tenders.mts.ru/tenders/54494;город Москва;
72006653483;0;166922;166922 166922 Уведомление о проведении открытого запроса предложений на выполнение работ по обеспечению пожарной безопасности на лесных участках, арендуемых ПАО МТС в Красноярском крае (торги №166922);03.11.2022 10:56;17.11.2022 0:00;-;RUB;ПАО «МТС»;7740000076;tenders.mts.ru;https://tenders.mts.ru/tenders/54505;город Москва;
72006770243;0;SBR028-2211030011;Закупка услуг физической охраны объекта ПАО «МТС-Банк» по адресам: Объект №1. Российская Федерация, Ямало-Ненецкий автономный округ, г. Ноябрьск, промузел «Пелей», панель № VI, проезд № 1. Объект №2. Российская Федерация, Ямало-Ненецкий автономный округ, г. Ноябрьск, промузел «Пелей», панель № VIII, проезд № 1.;03.11.2022 12:11;11.11.2022 10:00;-;RUB;"ПАО ""МТС-Банк"" 7702045051";7702045051;utp.sberbank-ast.ru;https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/5/0/0/1062598;город Москва;
72006854487;1;COM02112200178;COM02112200178 Поставка DWDM Huawei для нужд ООО «ВК»;03.11.2022 13:03;11.11.2022 12:00;5 026 667,00;USD;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВК"" 7743001840";7743001840;www.roseltorg.ru;https://www.roseltorg.ru/procedure/COM02112200178;город Москва;http://www.tenderland.ru/getarch.php?id=72006854487&module=commerce
72007107414;0;3143454;Запрос предложений № 3143454 Xerox DP 180, Pitney Bowes FPS 12F (тип обслуживания L) Услуги по техническому обслуживанию оборудования Отдела выпуска счетов Региона Москва ПАО МТС: принтеры Xerox и конвертовальные системы Pitney Bowes;03.11.2022 16:03;09.11.2022 18:00;-;RUB;"ПАО ""МТС"" 7740000076";7740000076;www.b2b-center.ru;https://www.b2b-center.ru/market/view.html?id=3143454;Московская область;
72007112475;0;SBR028-2211030020;Услуги по экспресс-доставке междугородних и международных отправлений АО «НСПК;03.11.2022 16:10;16.11.2022 12:00;-;RUB;"АО ""НСПК"" 7706812159";7706812159;utp.sberbank-ast.ru;https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/632/0/0/1062986;город Москва;
72007278352;1;COM03112200185;Поставка коммутаторов Huawei для нужд ООО «В Контакте»;03.11.2022 18:07;10.11.2022 11:00;986 077,00;USD;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВК"" 7743001840";7743001840;com.roseltorg.ru;https://com.roseltorg.ru/#com/procedure/view/procedure/807242;город Москва;http://www.tenderland.ru/getarch.php?id=72007278352&module=commerce
72014230002;1;167075;167075 167075 Уведомление о проведении запроса информации на поставку IP телефонии, г. Владивосток (GS);07.11.2022 8:56;08.11.2022 0:00;-;RUB;ПАО «МТС»;7740000076;tenders.mts.ru;https://tenders.mts.ru/tenders/54522;город Москва;
72014548779;1;167114;167114 167114 Уведомление о проведении запроса информации на поставку Системных блоков, Мониторов, ИБП г. Липецк;07.11.2022 12:56;09.11.2022 0:00;-;RUB;ПАО «МТС»;7740000076;tenders.mts.ru;https://tenders.mts.ru/tenders/54534;город Москва;
72014636070;1;3144661;Запрос предложений № 3144661 1C Предприятие 8. Расширенная корпоративная лицензия на 12 месяцев. 1C Предприятие 8. Расширенная корпоративная лицензия на 12 месяцев;07.11.2022 14:02;11.11.2022 14:00;-;RUB;ООО «УАЗ» 7327077188;7327077188;www.b2b-center.ru;https://www.b2b-center.ru/market/view.html?id=3144661;Ульяновская область;
72014663857;0;166471,1;166471,1 УВЕДОМЛЕНИЕ о проведении открытого запроса предложений на право заключения рамочного договора на техническое обслуживание и ремонт электрооборудования внешнего эл. снабжения базовых станций по лоту 1 в Ставропольском крае и лоту 2 Республике Калмыкия на 2023-2024г.г. Торги № 166471,1);07.11.2022 14:17;21.11.2022 0:00;-;RUB;ПАО «МТС»;7740000076;tenders.mts.ru;https://tenders.mts.ru/tenders/54544;город Москва;
72014710161;1;167134;167134 167134 Уведомление о проведении запроса информации на поставку IP телефонов, г. Владивосток;07.11.2022 14:56;09.11.2022 0:00;-;RUB;ПАО «МТС»;7740000076;tenders.mts.ru;https://tenders.mts.ru/tenders/54549;город Москва;
72014746925;1;166420;166420 ведомление о проведении открытого запроса предложений на поставку ЭПУ 48В 0,24 – 2 кВт для ГК МТС до 2024г. (Торги № 166420);07.11.2022 15:16;16.11.2022 0:00;-;RUB;ПАО «МТС»;7740000076;tenders.mts.ru;https://tenders.mts.ru/tenders/54551;город Москва;
72014778938;1;167137;167137 167137 Уведомление о продлении срока проведения запроса информации на поставку IP-АТС и платы расширения, г. Курган;07.11.2022 15:57;18.11.2022 0:00;-;RUB;ПАО «МТС»;7740000076;tenders.mts.ru;https://tenders.mts.ru/tenders/54554;город Москва;
